Breed,Age,Color,Sex,Class
,Infant - Younger than 6 months,FEMALE,TORTIE,Home
,Older than 1 year,MALE,BLACK,Other
,Older than 7 years,FEMALE,TORTI,Other
,Older than 1 year,MALE,WHITE,Home
,Older than 1 year,FEMALE,BRN TABBY,Other
,Older than 1 year,MALE,GRAY,Other
RAT TERRIER - MIX,Older than 1 year,MALE,TRICOLOR,Home
BEAGLE - MIX,Youth - Younger than 1 year,FEMALE,BROWN,Euthanized
,,FEMALE,CALICO,Euthanized
,Older than 1 year,MALE,RED,Euthanized
,Youth - Younger than 1 year,MALE,BLACK,Other
,,FEMALE,UNKNOWN,Other
,,MALE,RED,Euthanized
,Older than 1 year,FEMALE,GRAY,Other
,Older than 1 year,MALE,BLACK,Other
GOLDEN RETR - MIX,Older than 1 year,FEMALE,TAN,Home
,Older than 7 years,MALE,GRAY,Euthanized
,,MALE,UNKNOWN,Other
,,FEMALE,CALICO,Euthanized
,,UNKNOWN,GRAY,Euthanized
,Infant - Younger than 6 months,FEMALE,TORTIE,Euthanized
,Infant - Younger than 6 months,UNKNOWN,GRAY TABBY,Euthanized
,Older than 1 year,MALE,WHITE,Home
,Infant - Younger than 6 months,MALE,GRAY TABBY,Home
,,UNKNOWN,GRAY,Euthanized
LABRADOR RETR - MIX,,FEMALE,BLACK,Home
BEAGLE - MIX,,FEMALE,TAN,Other
,Infant - Younger than 6 months,MALE,BLACK,Other
,,MALE,BLACK,Euthanized
,,UNKNOWN,ORANGE,Euthanized
BEAGLE - MIX,Infant - Younger than 6 months,UNKNOWN,BROWN,Other
,Infant - Younger than 6 months,MALE,ORG TABBY,Euthanized
,Older than 1 year,FEMALE,WHITE,Other
,,FEMALE,WHITE,Other
,Older than 1 year,FEMALE,BLACK,Euthanized
,,MALE,BROWN,Home
,,MALE,BLACK,Euthanized
LABRADOR RETR - MIX,Older than 1 year,MALE,BLACK,Home
,Older than 1 year,FEMALE,WHITE,Home
SIAMESE - MIX,Infant - Younger than 6 months,FEMALE,CREAM,Other
LABRADOR RETR - MIX,Older than 1 year,MALE,BROWN,Home
,Older than 7 years,FEMALE,TRICOLOR,Other
,,FEMALE,BROWN,Euthanized
,,UNKNOWN,ORG TABBY,Euthanized
