Breed,Age,Color,Sex,Class
,Older than 1 year,MALE,BR BRINDLE
,,UNKNOWN,GRAY TABBY
,Infant - Younger than 6 months,FEMALE,ORANGE
,Older than 1 year,MALE,BROWN
,Infant - Younger than 6 months,MALE,BLACK
,Older than 1 year,MALE,TAN
,Older than 7 years,FEMALE,WHITE
BORDER COLLIE - MANCHESTER TERR,Older than 1 year,FEMALE,BLACK
,,MALE,GRAY
,,UNKNOWN,BROWN
LABRADOR RETR - CHOW CHOW,Older than 7 years,FEMALE,TAN
BORDER COLLIE - MIX,Older than 1 year,MALE,BLACK
,,FEMALE,ORANGE
,Older than 1 year,MALE,ORANGE
,,FEMALE,BROWN
,Infant - Younger than 6 months,FEMALE,GRAY TABBY
,Infant - Younger than 6 months,FEMALE,BLUE
CAIRN TERRIER - MIX,,MALE,TAN
,,UNKNOWN,ORG TABBY
,,MALE,UNKNOWN
,,FEMALE,BRN TABBY
BICHON FRISE - MALTESE,Older than 1 year,MALE,WHITE
,Older than 1 year,MALE,WHITE
,Older than 1 year,FEMALE,BLACK
,Infant - Younger than 6 months,FEMALE,BLACK
,,MALE,GRAY
,Older than 1 year,MALE,BLACK
,Older than 7 years,FEMALE,GRAY
,Infant - Younger than 6 months,UNKNOWN,GRAY TABBY
,Youth - Younger than 1 year,FEMALE,WHITE
,Infant - Younger than 6 months,MALE,BLACK
BORDER COLLIE - MIX,Older than 7 years,FEMALE,WHITE
,Infant - Younger than 6 months,MALE,ORG TABBY
,,FEMALE,BROWN
,Older than 1 year,FEMALE,GRAY TABBY
,Older than 1 year,FEMALE,YELLOW
GOLDEN RETR - PURE BRED,Older than 7 years,MALE,
,,FEMALE,UNKNOWN
,Infant - Younger than 6 months,FEMALE,CALICO
POODLE MIN - MIX,Older than 7 years,FEMALE,TAN
BEAGLE - MIX,Youth - Younger than 1 year,MALE,BLUE TICK
LABRADOR RETR - MIX,,FEMALE,BLACK
,,MALE,BLACK
,,MALE,ORANGE
GERM SHEPHERD - MIX,,FEMALE,BROWN
,,MALE,BRN TABBY
,Infant - Younger than 6 months,MALE,WHITE
,,UNKNOWN,BLACK
,Older than 1 year,FEMALE,BROWN
,Older than 1 year,FEMALE,BRN TABBY
,Older than 7 years,MALE,WHITE
,Older than 1 year,MALE,ORG TABBY
,Infant - Younger than 6 months,FEMALE,BLK TABBY
